,Former Atlanta Falcons player Justin Crawford has been charged with aggravated child molestation and sodomy https://t.co/Acx34d7D4T,Tue Oct 16 11:16:31 +0000 2018,34280715,False,False.1,0,Unnamed: 6,Unnamed: 7,Unnamed: 8,[],[].1,Unnamed: 11,"Watch FOX 17 News Nashville at 5:30 p.m., 9 p.m. and 10 p.m. and FOX 17 This Morning weekdays from 4 a.m.–9 a.m.",7627,73860,Unnamed: 15,3988,en,919,"Nashville, TN",149323,[].2
0,Former Atlanta Falcons player Justin Crawford has been charged with aggravated child molestation and sodomy https://t.co/Acx34d7D4T,Tue Oct 16 11:16:31 +0000 2018,34280715,False,False,0,,,,[],[],,"Watch FOX 17 News Nashville at 5:30 p.m., 9 p.m. and 10 p.m. and FOX 17 This Morning weekdays from 4 a.m.–9 a.m.",7627,73860,,3988,en,919,"Nashville, TN",149323,[]
1,"#Abracadabra #OpenSesame #10X
On Hard📈
A'mor Shanee'
#AmorShanee
#Detroit #LosAngeles #NewOrleans #Dallas #Chicago… https://t.co/t4LacJUsWC",Tue Oct 16 11:16:30 +0000 2018,507432009,True,False,0,,,,"[{'text': 'Abracadabra', 'indices': [0, 12]}, {'text': 'OpenSesame', 'indices': [13, 24]}, {'text': '10X', 'indices': [25, 29]}, {'text': 'AmorShanee', 'indices': [53, 64]}, {'text': 'Detroit', 'indices': [65, 73]}, {'text': 'LosAngeles', 'indices': [74, 85]}, {'text': 'NewOrleans', 'indices': [86, 97]}, {'text': 'Dallas', 'indices': [98, 105]}, {'text': 'Chicago', 'indices': [106, 114]}]",[],,"New Ep ""Moon Shine"" now available! https://t.co/NuPuBKqZ7n",2249,5810,,3620,en,13,"Detroit, MI",29344,"['Abracadabra', 'OpenSesame', '10X', 'AmorShanee', 'Detroit', 'LosAngeles', 'NewOrleans', 'Dallas', 'Chicago']"
4,And this is the other person on the ticket. Atlanta - what have you done? How did we get here? What a joke - she ca… https://t.co/iPqDsFefh7,Tue Oct 16 11:16:29 +0000 2018,460168257,True,False,0,,,,[],[],,"Interested in speaking truth - as I see it, not concerned with your feelings about it!",2126,219,,387,en,19,,3879,[]
8,RT @Atlanta_Police: ATLANTA PRIDE: #HappyPride from @CityofAtlanta Mayor @KeishaBottoms &amp; APD Chief Erika Shields! They just arrived at the…,Tue Oct 16 11:16:27 +0000 2018,1712671376,False,False,33,126371589.0,ATLANTA PRIDE: #HappyPride from @CityofAtlanta Mayor @KeishaBottoms &amp; APD Chief Erika Shields! They just arrived at… https://t.co/BXFtfdbtMQ,True,"[{'text': 'HappyPride', 'indices': [35, 46]}]","[{'screen_name': 'Atlanta_Police', 'name': 'Atlanta Police Dept', 'id': 126371589, 'id_str': '126371589', 'indices': [3, 18]}, {'screen_name': 'CityofAtlanta', 'name': 'City of Atlanta, GA', 'id': 21336038, 'id_str': '21336038', 'indices': [52, 66]}, {'screen_name': 'KeishaBottoms', 'name': 'Keisha Lance Bottoms', 'id': 305818748, 'id_str': '305818748', 'indices': [73, 87]}]",,"面白いものを見たり美味しいものを食べたり. /#icepillow /#arod /#f4f /#blacklist  / #かまぼこ / #素麺 / #お風呂 /#オペラ /#ポトフ
海外ドラマ➡@asami_tv",6256,14101,,13343,ja,24,"Redwood City, CA",9127,['HappyPride']
13,"RT @ArchKennedy: 📢ATTENTION #GA VOTERS📢

Instead of traveling down to assess the damage from #HurricaneMicheal and provide relief, Stacey A…",Tue Oct 16 11:16:23 +0000 2018,217575068,False,False,285,304123273.0,"📢ATTENTION #GA VOTERS📢

Instead of traveling down to assess the damage from #HurricaneMicheal and provide relief, S… https://t.co/2wMBt9sNs0",True,"[{'text': 'GA', 'indices': [28, 31]}, {'text': 'HurricaneMicheal', 'indices': [93, 110]}]","[{'screen_name': 'ArchKennedy', 'name': 'Arch Kennedy', 'id': 304123273, 'id_str': '304123273', 'indices': [3, 15]}]",,"Born in N.C.Served in the 101st Airborne Division many years ago.Strong believer in GOD and Country.Conservative.Keep your faith, GOD is in charge.",183273,13899,,15458,en,610,"Va. Beach,Va.",542499,"['GA', 'HurricaneMicheal']"
19,"#Abracadabra #OpenSesame #10X
On Hard📈
A'mor Shanee'
#AmorShanee
#Detroit #LosAngeles #NewOrleans #Dallas #Chicago… https://t.co/Zi8x1nDJNe",Tue Oct 16 11:16:21 +0000 2018,507432009,True,False,0,,,,"[{'text': 'Abracadabra', 'indices': [0, 12]}, {'text': 'OpenSesame', 'indices': [13, 24]}, {'text': '10X', 'indices': [25, 29]}, {'text': 'AmorShanee', 'indices': [53, 64]}, {'text': 'Detroit', 'indices': [65, 73]}, {'text': 'LosAngeles', 'indices': [74, 85]}, {'text': 'NewOrleans', 'indices': [86, 97]}, {'text': 'Dallas', 'indices': [98, 105]}, {'text': 'Chicago', 'indices': [106, 114]}]",[],,"New Ep ""Moon Shine"" now available! https://t.co/NuPuBKqZ7n",2249,5810,,3620,en,13,"Detroit, MI",29344,"['Abracadabra', 'OpenSesame', '10X', 'AmorShanee', 'Detroit', 'LosAngeles', 'NewOrleans', 'Dallas', 'Chicago']"
26,"RT @MellishMeterWSB: Halloween in #Atlanta currently looks dry and chilly, obviously long way off so could easily change. #ATLweather",Tue Oct 16 11:16:14 +0000 2018,114472326,False,False,2,2417684971.0,"Halloween in #Atlanta currently looks dry and chilly, obviously long way off so could easily change. #ATLweather",False,"[{'text': 'Atlanta', 'indices': [34, 42]}, {'text': 'ATLweather', 'indices': [122, 133]}]","[{'screen_name': 'MellishMeterWSB', 'name': 'Kirk Mellish', 'id': 2417684971, 'id_str': '2417684971', 'indices': [3, 19]}]",,WSB Radio Assistant News Director/Atlanta's Morning News Executive Producer/Former CNN Radio National Correspondent/Mommy to Olivia (4) Chase (1)/PSU grad,125,2121,,319,en,76,"Atlanta, GA",1191,"['Atlanta', 'ATLweather']"
34,"Rapper T.I. gives a tour of his hometown neighborhood in Atlanta
https://t.co/8eNpCHGqIK https://t.co/NESfmH85qi",Tue Oct 16 11:16:13 +0000 2018,3181589345,False,False,0,,,,[],[],,,0,47,,40,tr,2,,8487,[]
43,RT @AP: Melania Trump's spokeswoman calls for boycott of T.I. after the Atlanta rapper released a music video that shows a woman resembling…,Tue Oct 16 11:16:06 +0000 2018,64418841,False,False,199,51241574.0,Melania Trump's spokeswoman calls for boycott of T.I. after the Atlanta rapper released a music video that shows a… https://t.co/8OrMoGfmv2,True,[],"[{'screen_name': 'AP', 'name': 'The Associated Press', 'id': 51241574, 'id_str': '51241574', 'indices': [3, 6]}]",,"Saved, Single, Southern Lady living the dream in the big city. Follower of Christ, Frequent traveler of the World. COO of @rthsolutions.",1441,448,,720,en,175,"Maryland, USA",22554,[]
53,RT @AP: Melania Trump's spokeswoman calls for boycott of T.I. after the Atlanta rapper released a music video that shows a woman resembling…,Tue Oct 16 11:16:00 +0000 2018,2211356904,False,False,199,51241574.0,Melania Trump's spokeswoman calls for boycott of T.I. after the Atlanta rapper released a music video that shows a… https://t.co/8OrMoGfmv2,True,[],"[{'screen_name': 'AP', 'name': 'The Associated Press', 'id': 51241574, 'id_str': '51241574', 'indices': [3, 6]}]",,Follow Me & I Follow Back.Asian American family. Ally.  Equal rights for all. Retweets are not necessarily endorsements.  #TheResistance,26731,3518,,4942,en,11,"Florida, USA",27642,[]
